
010000', '010001 | Piaget, Jean | El lenguaje y el pensamiento en el niño | Buenos Aires | Guadalupe | 1983 | DESARROLLO DEL LENGUAJE' ;; 'DESARROLLO COGNOSCITIVO' ;; 'TECNICAS DIDACTICAS' ;; 'PSICOLOGIA EVOLUTIVA' ;; 'COMUNICACION VERBAL | 950-500-070-7
###
010003', '010004 |  | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0347-3
###
010005', '010006', '010007 |  | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE' ;; 'ENSENANZA DE LAS MATEMATICAS | 950-00-0349-X
###
010008', '010009', '010010 | Spravkin, Mariana | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE' ;; 'EDUCACION ARTISTICA | 950-00-0341-4
###
010011', '010012', '010013 | Bird, Jorge | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE' ;; 'EDUCACION FISICA | 950-00-0344-9
###
010014', '010015', '010016 | Clérico, María Laura | EGB 3 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0354-6
###
010017', '010018 | Cwi, Mario | EGB 3 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0352-X
###
010019', '010020 |  | EGB 3 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE' ;; 'ENSENANZA DE LA LENGUA | 950-00-0358-9
###
010021', '010022 | Inhelder, Bärbel | De la lógica del niño a la lógica del adolescente | Barcelona | Paidós | 1985 | DESARROLLO DEL LENGUAJE' ;; 'DESARROLLO COGNOSCITIVO' ;; 'TECNICAS DIDACTICAS' ;; 'PSICOLOGIA EVOLUTIVA' ;; 'DESARROLLO INTELECTUAL | 84-7509-176-8
###
010023', '010024 | Clérico, María Laura | Polimodal | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0355-4
###
010025', '010026', '010027 | Piaget, Jean | Psicología del niño | Madrid | Ediciones Morata | 1977 | PSICOLOGIA DEL NINO' ;; 'JUEGO' ;; 'MEMORIA' ;; 'DESARROLLO MENTAL' ;; 'INTELIGENCIA' ;; 'LENGUAJE | 84-7112-103-4
###
010028', '010029 |  | Carpeta de actividades | Buenos Aires | Ministerio de Cultura y Educación | 1998 | ADMINISTRACION DE LA EDUCACION' ;; 'CURSOS DE PERFECCIONAMIENTO | 
###
010030', '010031', '010032 | Piaget, Jean | Seis estudios de psicología | Buenos Aires | Ariel | 1998 | PSICOLOGIA EVOLUTIVA' ;; 'PSICOLOGIA DE LA ADOLESCENCIA' ;; 'PENSAMIENTO' ;; 'INTELIGENCIA' ;; 'LENGUAJE' ;; 'PERIODO SENSORIOMOTRIZ | 950-9122-00-9
###
010033', '010034 |  | Alfabetización inicial | Buenos Aires | Ediciones Novedades Educativas | 1999 | ALFABETIZACION' ;; 'CONSTRUCTIVISMO' ;; 'PROCESO DE APRENDIZAJE' ;; 'ROL DEL DOCENTE | 987-9191-49-8
###
010035', '010036', '010037 |  | Educación matemática | Buenos Aires | Ediciones Novedades Educativas | 1999 | ENSENANZA DE LAS MATEMATICAS' ;; 'ACTIVIDADES DE APRENDIZAJE' ;; 'GEOMETRIA' ;; 'PSICOMOTRICIDAD | 987-9191-50-1
###
010038', '010039', '010040 |  | Ciencias sociales | Buenos Aires | Ediciones Novedades Educativas | 1999 | ENSENANZA DE LAS CIENCIAS SOCIALES' ;; 'DERECHOS HUMANOS' ;; 'MUSEOS | 987-9191-51-X
###
010041', '010042', '010043 |  | Ciencias naturales | Buenos Aires | Ediciones Novedades Educativas | 1999 | ECOLOGIA' ;; 'ENSENANZA DE LA FISICA' ;; 'PROCESO COGNOSCITIVO | 987-9191-52-8
###
010044', '010045', '010046 |  | Carpeta de actividades | Buenos Aires | Ministerio de Cultura y Educación | [1997] | RECTORES' ;; 'CURSOS DE PERFECCIONAMIENTO' ;; 'FORMACION DE DOCENTES | 
###
